lon,lat,lonmid,latmid,UPWdays,DNWdays
-5.4669819016,35.9156250103,-5.3694437557,35.9218750103,23.2579365079,24.8869047619
-5.2822916598,35.9044992572,-5.3208333266,35.8736979262,8.0327380952,12.1130952381
-5.3383814031,35.8052083433,-5.3232638822,35.7375000097,2.058531746,2.0615079365
-5.2915894993,35.6875000095,-5.2410573829,35.6114583426,3.5119047619,4.2291666667
-5.1885416595,35.5453240831,-5.1032732724,35.4802083422,2.6527777778,4.6200396825
-5.0281249924,35.4016907585,-4.9604166588,35.3570288316,2.4990079365,3.6696428571
-4.8742446312,35.3031250083,-4.8062499916,35.2802479133,0.1686507937,0.2609126984
-4.7437499914,35.2295904761,-4.5677083242,35.1909027859,1.8601190476,0.2946428571
-4.3666666569,35.1547611038,-4.1364583228,35.2110084383,8.4285714286,0.9920634921
-3.9095288539,35.2520833415,-3.8822916554,35.2210182107,8.4642857143,4.0734126984
-3.8260416552,35.2165847462,-3.766923065,35.2572916748,9.8333333333,1.5694444444
-3.7072916548,35.2961805641,-3.6337945173,35.2645833415,4.4047619048,8.5724206349
-3.5687499877,35.2268033934,-3.4482892827,35.2104166747,6.0297619048,7.9861111111
-3.3335034934,35.1895833413,-3.2083333199,35.2366232716,5.3938492063,3.7708333333
-3.0979166528,35.2860768261,-3.0280677513,35.3635416752,7.9136904762,5.369047619
-2.9656249858,35.4463942394,-2.9495956119,35.3958333419,0.0198412698,2.9275793651
-2.9472077406,35.3302083417,-2.8604166521,35.2351033918,0.1051587302,4.748015873
-2.7583333184,35.156653234,-2.672802322,35.111458341,3.0912698413,5.6587301587
-2.5708333178,35.0911400217,-2.4947916509,35.1084346705,13.0734126984,4.3382936508
-2.4458333174,35.1544934718,-2.3687499838,35.1778169103,5.5238095238,5.8928571429
-2.2678701289,35.1364583411,-2.1656249832,35.1147569517,4.9087301587,5.7093253968
-2.0802083163,35.0891995682,-2.0357104535,35.0854166743,5.1488095238,5.5158730159
-1.9520833158,35.0804687574,-1.8708333156,35.1100172788,6.6240079365,4.3234126984
-1.793749982,35.1296723378,-1.6177083148,35.225621555,6.5942460317,3.0783730159
-1.4520833142,35.3156670488,-1.3656249806,35.3226302167,9.3630952381,8.4900793651
-1.2999999804,35.3581309608,-1.2409962674,35.4510416755,7.2827380952,3.0416666667
-1.2053109596,35.5625000091,-1.1066426328,35.6250000093,15.2728174603,11.3918650794
-1.0177083129,35.686918131,-0.9810660575,35.6895833429,15.1061507937,12.1081349206
-0.9686018637,35.7197916763,-0.9323015668,35.739583343,3.2609126984,8.4821428571
-0.8812499791,35.7182337054,-0.8502798302,35.7468750097,12.4861111111,9.3859126984
-0.8208333122,35.7751371936,-0.7416666453,35.7470622372,0.4563492063,6.2896825397
-0.635416645,35.7194487789,-0.543749978,35.7818435173,14.2212301587,10.6240079365
-0.4912808421,35.8687500101,-0.4146830168,35.8875000102,12.7470238095,11.6101190476
-0.338541644,35.9140636448,-0.2968749772,35.8903905389,0.0873015873,2.9176587302
-0.2827917941,35.8510416767,-0.1979166436,35.8099122214,2.0535714286,7.0436507937
-0.1241168241,35.8031250099,0.0197916905,35.8707594184,9.125,5.5873015873
0.0968750241,35.9911490005,0.1041666907,36.0021698721,5.6557539683,6.2668650794
0.0929634603,36.0125000106,0.1322916908,36.0684172565,14.3472222222,7.2867063492
0.1812500243,36.114788936,0.2163461783,36.1166666776,14.5337301587,9.1765873016
0.2500000245,36.1298477672,0.2260416911,36.1397670917,6.0287698413,9.621031746
0.2001860361,36.1447916777,0.2607101192,36.1666666777,18.0496031746,9.4642857143
0.313214466,36.1843750111,0.331016591,36.2000000112,18.6458333333,8.6626984127
0.3801709335,36.2177083446,0.4750000253,36.2442026399,16.8591269841,9.3998015873
0.5541666922,36.2941976699,0.5703792989,36.3166666782,28.2013888889,11.7936507937
0.5605722941,36.2947916782,0.5990543652,36.2927083448,27.9781746032,11.6547619048
0.6361990601,36.3208333449,0.7666666929,36.3530685357,22.1180555556,9.1140873016
0.8791002034,36.3937500118,0.9063099008,36.3979166785,18.1061507937,7.6617063492
0.9205663135,36.4302083453,1.0364583604,36.4773953864,13.9920634921,6.1845238095
1.1757945188,36.5156250122,1.3552083614,36.5540375543,29.3511904762,10.4255952381
1.5638200515,36.5406250123,1.6968750292,36.554652187,26.4613095238,8.3482142857
1.8104166962,36.5757017014,1.9020833632,36.5906455885,24.3859126984,7.3125
2.0165992507,36.572916679,2.1895833641,36.6164753951,22.185515873,5.6071428571
2.3708333647,36.6464826669,2.4135416981,36.6294031657,3.0753968254,3.8720238095
2.4416666982,36.6031837286,2.5145833651,36.5964664777,13.9692460317,4.2807539683
2.5864583654,36.6038562319,2.7541666992,36.6925000128,15.4196428571,2.1458333333
2.8910413228,36.7958333464,2.9552083665,36.8193493944,27.8740079365,5.3025793651
3.0416667001,36.8140891604,3.0843416623,36.778125013,8.2678571429,4.0853174603
3.114583367,36.7577810532,3.1833333673,36.7630413512,35.1180555556,5.6349206349
3.215625034,36.8023468995,3.3343750344,36.7912144157,29.2490079365,6.0178571429
3.4750000349,36.772866534,3.6362451773,36.8364583466,33.248015873,4.556547619
3.7843750043,36.9178571584,3.8614583378,36.9123660674,30.8740079365,5.4424603175
3.9302083381,36.9154591587,3.991806597,36.9031250134,29.7321428571,5.4047619048
4.0579498022,36.9114583468,4.1026032589,36.8916666801,28.1587301587,5.5089285714
4.1479166721,36.908118886,4.2699731745,36.9020833468,27.6051587302,5.7162698413
4.3781250062,36.9087793299,4.5541666734,36.8850190214,21.4791666667,5.8859126984
4.7531250074,36.8933153905,4.9401534633,36.8354166799,8.1537698413,5.6349206349
5.1017388535,36.7802083464,5.1697916754,36.7009583442,0.7361111111,1.0109126984
5.2260416755,36.6487829302,5.2950292789,36.6416666793,0.068452381,0.5853174603
5.3585831543,36.648958346,5.4666666763,36.6807865594,0.4890873016,0.3055555556
5.5443200558,36.7281250129,5.5593750099,36.7537123358,1.3640873016,0.2390873016
5.5858782534,36.7708333463,5.6114583434,36.785661346,0.2490079365,0.9523809524
5.6291666768,36.7821585444,5.6653386307,36.8093750131,4.869047619,0.9037698413
5.7031250104,36.8379849268,5.669791677,36.8407132185,2.0466269841,5.3492063492
5.6385416769,36.8496223329,5.682291677,36.8665248424,3.8958333333,3.0992063492
5.7325830685,36.8468750133,5.7182265493,36.8270833465,0.8343253968,9.6825396825
5.7229166771,36.8235757172,5.7535760759,36.8291666799,8.9246031746,4.2162698413
5.7822916773,36.8360923555,5.8072916774,36.843788724,7.8591269841,4.0912698413
5.8364583442,36.8371124164,5.8072916774,36.8152692357,3.3650793651,12.8253968254
5.7795335432,36.8135416798,5.8520833442,36.8130661363,9.7113095238,3.7271825397
5.8895833443,36.8321607597,5.9212904674,36.8239583465,5.4107142857,3.8075396825
5.9468750112,36.8470238225,5.9725754276,36.8354166799,4.1349206349,3.7043650794
6.0125000114,36.8444488031,6.0447916782,36.8618904633,6.8888888889,2.558531746
6.06947838,36.8781250134,6.1097418243,36.8864583467,6.5555555556,3.1021825397
6.1285972927,36.9010416801,6.1718750119,36.9280789227,6.7371031746,2.9543650794
